no,연도,월,일,지점,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),1시간 최다강수량(mm),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조 시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),안개 계속시간(hr),합계 일조시간(hr),합계 일사량(MJ/m2)
0,YC,11,11,I,5.1,0.9,2258.0,9.9,1406.0,,0.0,8.8,340.0,1159.0,4.0,320.0,1204.0,1.9,1635.0,-4.5,33.0,1300.0,51.5,4.4,1016.4,1024.0,931,1020.1,18.0,1022.2,10.3,9.2,,,,,,,,,,,5.5,-6.7,,,,,,,,,,,,,,
1,YC,5,14,E,19.7,14.5,545.0,25.9,1309.0,,0.0,14.4,320.0,1328.0,8.6,320.0,1231.0,4.6,3953.0,3.0,18.0,1702.0,36.0,7.7,1002.6,1012.1,2334,1006.5,1441.0,1008.8,14.0,13.0,1200.0,3.52,28.12,,,,,,2.1,0.0,24.4,10.1,,,,,,,,,,8.2,11.7,,,
2,YC,10,22,C,15.8,11.8,648.0,22.0,1259.0,,0.0,15.5,70.0,1511.0,9.3,50.0,1518.0,4.4,3761.0,6.9,38.0,1152.0,57.0,10.0,1005.8,1015.7,627,1011.2,1509.0,1013.8,11.0,9.3,1200.0,1.4,8.78,,,,,,1.9,1.1,17.1,5.9,16.7,16.7,17.1,17.3,17.6,18.4,19.2,19.5,17.2,3.3,4.8,,,
3,YA,5,14,B,18.2,11.9,235.0,24.5,1628.0,,0.0,7.2,290.0,1610.0,3.4,270.0,1611.0,1.4,1202.0,12.4,45.0,1737.0,71.4,14.5,1001.3,1013.2,729,1009.2,1757.0,1011.4,14.2,7.2,1200.0,2.74,19.19,,,,,,6.6,5.6,21.2,8.8,19.5,18.6,17.7,17.1,16.8,15.3,14.2,12.2,13.0,3.4,4.9,,,
4,YB,5,6,D,14.5,9.4,2400.0,20.3,1506.0,0.0,0.0,8.9,320.0,1547.0,4.8,340.0,1229.0,2.2,1918.0,0.4,13.0,1421.0,42.1,6.5,1008.6,1018.3,2301,1014.5,1614.0,1016.8,13.8,,1200.0,3.85,,,,,,,0.6,0.4,20.9,3.5,19.8,19.2,19.2,18.9,17.2,14.8,13.6,12.7,14.5,5.8,8.3,,13.1,31.08
5,YA,3,18,G,9.8,3.6,704.0,15.4,1427.0,,24.1,3.9,70.0,1728.0,2.6,50.0,1728.0,1.1,937.0,7.8,60.0,1305.0,88.6,10.8,1011.5,1025.7,1,1015.5,2348.0,1020.3,12.0,0.1,1200.0,1.64,7.44,,,,,,8.6,5.4,8.6,-2.4,,,,,,,,,,1.0,1.4,,,
6,YA,10,27,E,12.0,9.0,2349.0,16.3,1422.0,0.5,0.5,14.3,250.0,1354.0,7.5,270.0,1350.0,4.2,3629.0,-0.6,29.0,1406.0,42.3,5.9,1007.8,1016.4,2305,1011.4,6.0,1014.2,10.9,6.7,1300.0,2.53,12.31,,,,,,4.1,4.1,10.9,6.3,,,,,,,,,,3.4,4.9,,,
7,YA,8,5,C,29.1,27.0,603.0,31.8,1204.0,,0.0,8.9,270.0,1527.0,5.3,250.0,1532.0,3.0,2595.0,25.5,58.0,1152.0,82.3,32.6,999.7,1008.6,815,1006.2,1718.0,1007.5,14.0,10.3,1200.0,3.16,21.24,,,,,,5.8,5.0,37.0,25.2,32.4,31.9,31.4,30.7,29.4,26.3,23.0,17.3,13.7,4.1,5.9,,,
8,YC,9,9,E,23.6,17.9,510.0,30.4,1537.0,,0.0,5.3,250.0,1533.0,2.7,320.0,1446.0,1.0,821.0,16.3,35.0,1732.0,68.0,18.6,1006.5,1014.0,2357,1010.6,1506.0,1012.6,12.7,8.0,1000.0,2.33,16.5,,,,,,3.9,0.5,27.4,14.3,,,,,,,,,,3.1,4.4,,,
9,YA,5,8,F,13.3,12.0,2352.0,14.8,1246.0,0.0,0.0,11.2,20.0,1014.0,5.7,20.0,1454.0,3.8,3266.0,10.4,74.0,1615.0,83.4,12.7,1005.4,1019.3,2335,1011.6,1.0,1015.3,13.9,0.1,,,,,,,,,9.5,7.5,13.5,11.2,,,,,,,,,,,,,,
