날짜,미세먼지(PM-10),소음(db),습도(%),온도(℃),초미세먼지(PM-2.5),PM10단계,PM25단계
2018-04-01 00,52.82,48.41,52.48,14.22,29.64,보통,보통
2018-04-01 01,55.17,48.25,53.32,13.67,30.13,보통,보통
2018-04-01 02,57.04,47.87,52.78,13.58,28.51,보통,보통
2018-04-01 03,53.81,47.71,52.59,13.36,26.91,보통,보통
2018-04-01 04,51.53,47.71,53.2,13.31,28.96,보통,보통
2018-04-01 05,54.25,47.71,53.61,13.38,29.4,보통,보통
2018-04-01 06,58.34,48.04,52.77,13.64,31.79,보통,보통
2018-04-01 07,59.03,48.16,52.31,14.01,32.95,보통,보통
2018-04-01 08,64.59,48.7,53.83,14.44,36.28,보통,나쁨
2018-04-01 09,70.49,48.96,54.67,15.38,38.05,보통,나쁨
2018-04-01 10,74.97,48.95,50.4,17.0,31.54,보통,보통
2018-04-01 11,74.66,48.97,46.26,18.82,25.64,보통,보통
2018-04-01 12,68.75,49.15,46.83,19.28,21.36,보통,보통
2018-04-01 13,57.79,49.24,50.75,19.64,16.72,보통,보통
2018-04-01 14,55.92,49.24,55.86,19.63,19.59,보통,보통
2018-04-01 15,62.36,49.42,56.71,19.71,25.47,보통,보통
2018-04-01 16,68.34,49.39,58.33,19.77,35.11,보통,보통
2018-04-01 17,70.79,49.22,62.0,19.68,37.56,보통,나쁨
2018-04-01 18,75.34,49.2,65.18,19.43,44.32,보통,나쁨
2018-04-01 19,72.82,49.12,68.78,19.01,48.66,보통,나쁨
2018-04-01 20,75.13,48.96,70.68,18.81,46.0,보통,나쁨
2018-04-01 21,79.6,48.78,72.21,18.64,46.09,보통,나쁨
2018-04-01 22,79.97,48.56,73.27,18.44,43.68,보통,나쁨
2018-04-01 23,74.73,48.16,73.4,18.17,37.85,보통,나쁨
2018-04-02 00,75.53,47.79,72.47,18.06,38.02,보통,나쁨
2018-04-02 01,74.38,47.43,72.63,17.62,36.85,보통,나쁨
2018-04-02 02,71.22,47.17,72.54,17.57,29.45,보통,보통
2018-04-02 03,70.37,47.03,72.1,17.62,27.35,보통,보통
2018-04-02 04,70.26,47.29,72.31,17.48,28.9,보통,보통
2018-04-02 05,67.89,47.9,73.06,17.22,29.03,보통,보통
2018-04-02 06,67.11,48.5,73.17,17.14,28.26,보통,보통
2018-04-02 07,66.9,49.08,71.27,17.48,29.29,보통,보통
2018-04-02 08,65.37,49.35,67.84,18.13,30.91,보통,보통
2018-04-02 09,61.86,49.31,62.67,18.85,29.26,보통,보통
2018-04-02 10,61.3,49.44,57.71,19.98,25.44,보통,보통
2018-04-02 11,63.7,49.27,51.35,21.33,24.03,보통,보통
