날짜,미세먼지(PM-10),소음(db),온도(℃),습도(%),초미세먼지(PM-2.5),PM10단계,PM25단계
2018-04-01 00,49.33,52.9,13.43,61.93,24.38,보통,보통
2018-04-01 01,51.12,52.32,13.41,63.14,22.99,보통,보통
2018-04-01 02,52.25,51.84,13.62,62.3,23.77,보통,보통
2018-04-01 03,53.56,51.24,13.81,60.9,25.78,보통,보통
2018-04-01 04,54.28,51.22,14.0,56.95,26.73,보통,보통
2018-04-01 05,54.22,51.7,13.99,53.99,26.41,보통,보통
2018-04-01 06,59.15,52.61,14.22,52.43,30.17,보통,보통
2018-04-01 07,63.48,53.15,14.48,52.44,32.81,보통,보통
2018-04-01 08,65.63,53.65,14.56,60.3,33.74,보통,보통
2018-04-01 09,63.22,54.22,15.45,58.36,28.97,보통,보통
2018-04-01 10,66.92,54.62,17.05,51.67,26.1,보통,보통
2018-04-01 11,63.36,54.48,18.39,47.87,24.15,보통,보통
2018-04-01 12,55.65,54.48,18.93,49.9,22.15,보통,보통
2018-04-01 13,50.87,54.55,18.69,56.8,21.9,보통,보통
2018-04-01 14,58.83,54.83,18.74,59.03,27.43,보통,보통
2018-04-01 15,60.67,54.88,19.06,60.06,30.19,보통,보통
2018-04-01 16,64.56,55.06,19.15,63.14,35.42,보통,보통
2018-04-01 17,81.66,54.45,18.95,65.66,47.63,나쁨,나쁨
2018-04-01 18,77.53,54.38,18.68,68.99,44.18,보통,나쁨
2018-04-01 19,73.25,54.18,18.29,71.71,38.35,보통,나쁨
2018-04-01 20,77.86,53.92,18.03,73.58,38.58,보통,나쁨
2018-04-01 21,78.01,53.86,17.9,74.99,36.86,보통,나쁨
2018-04-01 22,77.63,53.51,17.47,76.11,33.6,보통,보통
2018-04-01 23,76.15,52.81,17.47,74.19,34.01,보통,보통
2018-04-02 00,69.07,51.99,17.34,72.55,31.07,보통,보통
2018-04-02 01,61.18,51.33,17.02,73.41,25.63,보통,보통
2018-04-02 02,60.7,50.68,16.92,73.9,23.82,보통,보통
2018-04-02 03,60.97,50.41,16.93,72.99,23.99,보통,보통
2018-04-02 04,63.7,51.32,16.67,74.02,26.29,보통,보통
2018-04-02 05,64.62,52.76,16.17,75.78,26.49,보통,보통
2018-04-02 06,63.0,54.21,16.43,74.46,26.59,보통,보통
2018-04-02 07,60.25,54.74,17.21,70.99,26.44,보통,보통
2018-04-02 08,58.75,55.09,17.97,65.89,26.35,보통,보통
2018-04-02 09,57.4,55.21,18.57,62.21,24.7,보통,보통
2018-04-02 10,55.71,55.12,19.47,57.31,23.5,보통,보통
2018-04-02 11,59.99,55.16,20.59,52.0,25.33,보통,보통
2018-04-02 12,73.02,55.15,22.25,45.63,31.58,보통,보통
2018-04-02 13,76.42,55.21,23.37,40.96,31.94,보통,보통
2018-04-02 14,74.85,55.14,24.01,38.73,29.17,보통,보통
2018-04-02 15,71.79,55.07,24.08,40.77,27.5,보통,보통
2018-04-02 16,70.92,55.08,23.38,42.66,27.17,보통,보통
2018-04-02 17,74.65,54.95,22.13,45.85,28.86,보통,보통
2018-04-02 18,66.38,54.88,20.7,51.38,23.79,보통,보통
2018-04-02 19,58.44,54.73,19.77,55.76,17.85,보통,보통
2018-04-02 20,57.4,54.65,19.4,57.96,18.19,보통,보통
2018-04-02 21,54.0,54.64,19.08,58.21,18.46,보통,보통
2018-04-02 22,50.93,54.62,18.53,60.43,16.98,보통,보통
2018-04-02 23,48.09,54.06,18.25,62.35,15.31,보통,좋음
2018-04-03 00,49.02,53.18,18.46,63.64,15.13,보통,좋음
2018-04-03 01,47.45,52.53,18.2,66.36,14.4,보통,좋음
2018-04-03 02,48.68,51.83,18.23,66.82,14.06,보통,좋음
2018-04-03 03,46.35,51.19,18.09,67.72,13.2,보통,좋음
2018-04-03 04,46.77,51.57,18.12,67.5,13.76,보통,좋음
2018-04-03 05,47.0,52.84,18.15,66.84,14.22,보통,좋음
2018-04-03 06,46.63,54.16,18.25,66.52,14.39,보통,좋음
2018-04-03 07,45.67,54.91,18.62,65.16,13.58,보통,좋음
2018-04-03 08,46.93,55.0,19.22,62.83,13.77,보통,좋음
2018-04-03 09,61.96,55.22,20.09,59.98,26.4,보통,보통
2018-04-03 10,74.6,55.28,20.44,59.28,37.03,보통,나쁨
2018-04-03 11,62.91,55.55,20.37,60.07,17.51,보통,보통
2018-04-03 12,74.45,55.58,21.18,55.86,20.92,보통,보통
2018-04-03 13,73.71,55.35,21.25,53.9,20.09,보통,보통
2018-04-03 14,80.58,55.33,21.4,49.41,20.63,보통,보통
2018-04-03 15,76.89,55.64,20.96,51.7,20.07,보통,보통
2018-04-03 16,79.73,55.51,20.92,50.98,20.07,보통,보통
2018-04-03 17,76.69,55.04,20.58,52.61,17.36,보통,보통
2018-04-03 18,64.52,55.05,19.29,64.73,13.91,보통,좋음
2018-04-03 19,63.79,55.25,18.54,69.29,14.34,보통,좋음
2018-04-03 20,63.16,54.76,18.05,73.51,15.42,보통,좋음
2018-04-03 21,67.73,54.68,17.37,78.91,20.6,보통,보통
2018-04-03 22,71.33,54.47,16.12,81.89,26.25,보통,보통
2018-04-03 23,67.11,53.85,15.74,86.32,28.81,보통,보통
2018-04-04 00,57.25,53.04,15.63,87.06,27.57,보통,보통
2018-04-04 01,57.23,53.53,15.58,87.68,26.16,보통,보통
2018-04-04 02,33.12,54.09,14.99,89.28,16.36,보통,보통
2018-04-04 03,26.21,52.71,14.81,89.26,15.19,좋음,좋음
2018-04-04 04,17.63,53.04,13.7,88.26,11.15,좋음,좋음
2018-04-04 05,9.44,54.0,12.39,84.95,5.65,좋음,좋음
2018-04-04 06,7.21,54.79,11.41,80.55,5.19,좋음,좋음
2018-04-04 07,7.01,55.24,11.26,78.32,5.37,좋음,좋음
2018-04-04 08,9.09,56.02,11.35,73.02,6.09,좋음,좋음
2018-04-04 09,9.99,55.48,11.32,72.08,6.99,좋음,좋음
2018-04-04 10,12.91,55.49,12.26,65.45,7.95,좋음,좋음
2018-04-04 11,13.46,55.5,14.26,53.82,6.67,좋음,좋음
2018-04-04 12,14.13,55.58,15.57,46.82,6.69,좋음,좋음
2018-04-04 13,13.18,55.42,16.67,42.17,6.57,좋음,좋음
2018-04-04 14,16.52,56.31,17.3,40.13,7.1,좋음,좋음
2018-04-04 15,19.39,55.71,17.6,39.7,9.68,좋음,좋음
2018-04-04 16,20.74,55.21,17.76,39.29,7.91,좋음,좋음
2018-04-04 17,18.15,55.01,17.05,40.33,5.5,좋음,좋음
2018-04-04 18,16.16,55.27,15.89,43.87,5.44,좋음,좋음
2018-04-04 19,16.44,55.03,14.67,47.47,7.14,좋음,좋음
2018-04-04 20,14.73,54.89,13.66,49.43,8.26,좋음,좋음
2018-04-04 21,13.9,54.76,12.64,49.34,8.45,좋음,좋음
2018-04-04 22,13.62,54.68,12.04,50.04,8.37,좋음,좋음
2018-04-04 23,10.11,54.18,11.23,51.93,5.32,좋음,좋음
2018-04-05 00,8.51,53.38,10.56,54.46,4.11,좋음,좋음
2018-04-05 01,7.51,52.83,10.27,56.02,4.43,좋음,좋음
2018-04-05 02,7.3,52.14,10.21,56.79,4.3,좋음,좋음
2018-04-05 03,7.54,51.7,10.06,57.64,3.79,좋음,좋음
2018-04-05 04,7.63,51.98,9.78,63.04,4.22,좋음,좋음
